sofifa_id,short_name
252905,L. Kasten
252904,M. Langer
252903,S. Appelkamp
252901,C. Borțoneanu
252900,M. Fjörtoft
252899,M. Virtanen
252898,E. Ross
252893,C. Painter
252892,J. Starbuck
252891,J. Hope
252890,B. McPherson
252889,J. Galloway
252888,T. Charters
252887,D. Richards
252886,K. Osigwe
252885,M. Edmondson
252884,D. Jefferies
252883,H. Kyprianou
252882,S. Bennett
252881,H. Hopper
252880,L. Bradley
252879,Z. Issaka
252877,Alberto
252876,K. Lleshi
252875,Filipe Ferreira
252874,Y. Annor
252873,A. Andrade
252872,M. Al Ghamdi
252869,L. Fernandez
252867,L. Junior
252866,Carreira
252865,Iker Losada
252864,Bermejo
252863,G. Muzinga
252856,T. Pawlson
252855,W. Horlison
252854,F. Mircer
252853,G. Ushler
252852,M. Drubble
252851,B. Curville
252848,M. Đurić
252847,D. Rosic
252844,I. Bakare
252842,T. Salazar
252839,E. Allen
252838,F. Lapworth
252837,Nico Ribaudo
252833,N. Kolesovs
252828,D. Brown-Sterling
252827,João Pedro
252826,F. Çetinkaya
252825,A. Fiordaliso
252822,M. De Marino
252821,Y. Senesi
252820,F. Sagman
252807,S. Dikmen
252803,D. Vega
252802,W. Singo
252801,A. Gudiño
252800,Rubén Lobato
252799,T. Çetin
252798,B. Albayrak
252797,M. Çapkan
252795,Mathiola
252792,C. Gormley
252791,V. Kucheruk
252786,B. Moreno
252785,A. Álvarez
252784,L. Štor
252782,K. Moncrieffe
252781,A. Tribuzzi
252778,R. Crawford
252776,E. Karakaş
252775,D. Hayashi
252771,K. Al Blooshi
252762,S. Makuka
252761,J. Gottesman
252759,C. Poshoroğlu
252753,A. Kızıldağ
252752,H. Estupiñan
252749,P. Akono
252748,K. Adedoyin
252747,G. D'Anca
252746,C. Cauz
252745,A. Martina
252743,K. Stoyanov
252742,T. Chunchukov
252739,I. Goranov
252738,K. Dimitrov
252735,H. Ivanov
252733,N. Bergmark
252728,J. Anderson
252727,I. Sevinç
252726,C. Şen
252725,B. Fındık
252724,S. Miakushko
252723,Ernesto
252721,D. Takagi
252720,E. Civelek
252719,G. Al Enazi
252718,K. Suzuki
252717,E. Sepil
252716,M. Paluli
252715,R. Sila
252711,A. Abdi
252708,Lee Dong Won
252705,C. Breadner
252704,M. Sala
252703,Adrián Carrasco
252701,D. Cattin
252700,K. Trewin
252699,M. Freke
252695,K. Perez
252694,D. Bilogrevic
252692,S. Nicholson
252685,N. Dunga
252683,B. El Mohamady
252682,A. Mansour
252680,M. Genesh
252676,B. Mendoza
252675,J. Dawa Tchakonte
252670,K. Al Ghuwainim
252615,Lee Sang Su
252611,Mun Kyung Min
252608,Min Kyung Hyun
252599,S. Sanna
252598,Sergio Lozano
252596,A. Senior
252595,F. Tolomello
252594,I. Lihadji
252593,P. Vroegh
252590,Fer Niño
252589,N. Pavan
252588,J. Boon
252587,R. Darcy
252586,S. Graham
252585,C. King-Harmes
252584,J. White
252583,M. Alexander
252581,J. Linnet
252580,P. Mukairu
252577,João Ferreira
252575,P. Mendy
252573,A. Terzic
252572,K. Cagtay
252571,L. Smith
252569,M. Cavar
252568,M. Sagaf
252567,S. Alexandropoulos
252565,C. Konan
252563,B. Lauton
252562,K. Apostolakis
252560,A. Djerlek
252559,V. Egri
252558,Y. Tunç
252557,J. Jiménez
252556,B. Shabani
252555,M. Sorinola
252554,D. Meliopoulos
252553,C. Pattison
252551,S. Markovic
252548,C. Heath
252547,R. Adebisi
252546,C. Gyeboaho
252545,A. Cissé
252544,M. Mercan
252543,G. Murillo
252542,L. Galicia
252541,J. Chotard
252540,A. Gözütok
252538,L. Otto
252537,N. Al Ghamdi
252536,A. Doyle
252535,M. Al Sahli
252533,U. Vasic
252531,L. Wanner
252530,F. Solimando
252529,S. Sahiti
252527,M. Burch
252526,D. Males
252525,D. Mistrafovic
252524,J. Sylvestre-Brac
252523,I. Ndiaye
252522,J. Westerman
252520,Zhou Xiao
252515,M. Rodríguez
252514,A. Österholm
252513,A. Sy
252512,A. Rouault
252510,D. Pawłowski
252509,M. Wędrychowski
252507,M. Żurawski
252505,J. Grobelny
252503,L. Soszyński
252502,D. Dudziński
252501,M. Bogacz
252499,A. Sójka
252498,P. Zaucha
252495,J. Kamiński
252493,D. Nreca-Bisinger
252492,C. Stamboulidis
252491,A. Capră
252490,K. Watanabe
252488,K. Sardella
252487,V. Olatunji
252485,S. Obeng
252484,R. Deaconu
252483,A. Doughty
252471,A. Ibrahim
252469,Diogo Almeida
252467,V. Pinto
252464,A. Dallas
252463,M. Taabouni
252462,Y. Schoonderwaldt
252461,A. Atouchi
252460,J. Miguel
252459,A. Ratajczyk
252458,M. Grim
252457,M. Dampc
252456,C. Klaus
252455,Lucas Díaz
252454,H. Ortega
252453,B. Zahn
252452,M. Stefandl
252451,R. Ergas
252448,J. Leweling
252447,U. Zengin
252446,J. Mendez
252444,E. Tia
252443,A. Šimunec
252442,E. Del Prato
252440,N. Zortea
252437,M. Zoulan
252436,J. Ipalibo
252434,M. Mawa
252426,S. Shimada
252425,B. Mladenovic
252424,S. Abdullah
252423,F. Waleed
252422,M. Abdullah
252421,M. Al Dawsari
252417,Y. Samuel
252416,D. Louicius
252412,C. McKenna
252411,Z. Naidji
252410,F. Maistro
252407,Jota Gonçalves
252406,J. Craenmehr
252405,Bruno Jesus
252401,E. Brown
252400,Fran Castillo
252398,C. Bîrnoi
252397,Marcinho
252395,Liu Jing
252394,O. Omar
252393,R. Johansen
252391,Rúben Fonseca
252390,M. Nilsson
252386,Carlos Kevin
252385,J. Sweeney
252384,L. Tomlinson
252383,R. Zerrouki
252380,E. Banda
252376,J. Knight
252375,Adrián Herrera
252374,N. Ntolla
252373,M. Bahlouli
252368,M. Aničić
252366,M. Dalsgaard
252365,L. Doyle
252364,K. Riascos
252363,L. Vella
252360,C. Comara
252359,E. Ira Tape
252358,F. Michel
252356,T. Egert
252355,R. Hernández
252354,O. Novelo
252343,R. Zuijderwijk
252342,C. van den Berg
252340,R. Smith
252339,Tiago Djaló
